,outils
698,excel|r|stata|eviews|géocarto|paint
702,word
705,sphinx|limesurvey|excel|r|jasp
707,word
708,office
710,elan|praat|r|media coder|latex
712,logiciel de retranscription automatique|excel|atlasti|word
713,texmaker|qgis|open street map|qgis
715,
716,logiciels maison|statistica|r
717,
719,qualtrics|stata|excel
720,libreoffice
721,access
726,tableur
727,word|foxit|cc cleaner|word|publisher
730,spss|powerpoint
743,excel|word
748,sphinx|framapad|framagenda|framaforms|libreoffice|draw
749,limesurvey|excel|spss|statistica|excel|amos|mplus|powerpoint
755,excel
758,
759,sas|spss|alceste|vosvixer|word
762,photoshop
765,
767,excel|googlesheets|drive|word|indesign xml|excel|illustrator|photoshop
768,limesurvey|surveymonkey|jatos|r|spss|statistica|jasp
769,limesurvey|surveymonkey|opensesame|r|jasp
771,alceste|bloc notes
772,office|spss|r|excel|gimp|illustrator|office
773,google drive|framasoft|gimp|photofiltre|photoshop
774,excel|statistica
775,excel|photoshop|illustrator
777,office
778,python|logiciels maison|latex
780,
787,pgadmin|arcgis|qgis|access|r|excel
793,semato|iramuteq|excel
795,excel|arcgis|r|xper2|adobe illustrator|powerpoint|paint
796,freeplane
797,spss|excel
800,stata
802,alceste
805,
806,gedit|txm|iramuteq|dtmvic|libreoffice|gimp|inkscape
808,logiciels de numérisation|logiciels maison|tableur|powerpoint
810,nvivo|excel|word
811,word|adobe photoshop|filemaker|photoshop capture|powerpoint
813,word|libreoffice
815,excel|filemaker|word|pixelmator|photoshop
816,word|audio|maxqda|sphinx|ckan|mviewer
818,mysql|mariadb|omeka|wordpress|exiftools|xnview|openrefine|freeplane|ganttproject|gimp|inkscape|office|opentheso|heurist|antrenamer|gephi|yed|scribus|powerpoint|logiciels maison
819,txm|iramuteq|python|mongodb|neo4j|gephi|r
821,python|matlab|xslt|elpis|python|matlab|praat
826,praat|elan|toolbox|flex|inkscape
827,logiciels maison|powerpoint
828,c|perl|opensesame|libreoffice|logiciels maison
831,word|excel
832,bootcat|r|spss|antconc|txm
835,word
839,limesurvey|excel|r
840,limesurvey|excel|jasp|r
841,
842,powerpoint|excel|word
846,word|vlc|logic pro
847,excel|spss|word|powerpoint
850,office
852,word
853,
855,word|excel|tact
859,qgis|arcgis|postgresql|r|triggers|openrefine|libreoffice
860,python|latex
864,word|excel
865,traitement de textes
866,office|excel
870,maxqda|sonal
872,excel|r|sas|stata
873,capi|sas|r|excel
875,word|excel|photoshop|illustrator
876,r|matlab|qgis|matlab|inkscape
880,logiciels maison|perl|libreoffice
882,statistiques|excel|indesign|qgis
887,word
888,word|powerpoint
893,excel|access|excel
895,calc|access|qgis|adobe illustrator|word|past|tulip|paint
897,gimp|office
900,google scholar|europresse
906,word
909,word|excel|sas|r|magrit|indesign|photoshop|powerpoint
912,excel|nvivo|r|arcgis|indesign|illustrator
914,office
916,r|spss|office
920,analyse textuelle
921,office|mindview|excel|visual.ly
924,postgresql|sql
931,elan|audacity|excel|praat|paint
936,logiciels maison|excel|open refine|word|voyant tools
938,r|stata
